"dateAndTime","name","eventCode"
"2019-05-08 11:29:16","cup",1
"2019-05-08 11:29:20","cup",0
"2019-05-08 11:29:34","cup",1
"2019-05-08 11:29:36","cup",0
"2019-05-08 11:29:59","cup",1
"2019-05-08 11:30:03","cup",0
"2019-05-08 11:30:18","cup",1
"2019-05-08 11:30:22","cup",0
"2019-05-08 11:30:36","cup",1
"2019-05-08 11:30:39","cup",0
"2019-05-08 11:30:44","cup",1
"2019-05-08 11:30:50","cup",0
"2019-05-08 11:30:56","door",1
"2019-05-08 11:30:59","door",0
"2019-05-08 11:37:01","door",1
"2019-05-08 11:39:44","cup",1
"2019-05-08 11:40:01","cup",0
"2019-05-08 11:40:04","cup",1
"2019-05-08 11:40:14","cup",0
"2019-05-08 11:40:15","cup",0
"2019-05-08 11:40:15","cup",1
"2019-05-08 11:40:16","cup",1
"2019-05-08 11:40:23","cup",0
"2019-05-08 11:40:27","cup",1
"2019-05-08 11:40:33","cup",0
"2019-05-08 11:40:40","cup",1
"2019-05-08 11:40:44","cup",0
"2019-05-08 11:40:45","cup",1
"2019-05-08 11:40:55","cup",0
"2019-05-08 11:40:58","cup",1
"2019-05-08 11:40:59","cupboard4",1
"2019-05-08 11:41:02","cup",0
"2019-05-08 11:41:07","cupboard4",0
"2019-05-08 11:41:13","door",0
"2019-05-08 11:45:13","door",1
"2019-05-08 11:45:23","cupboard2",1
"2019-05-08 11:45:29","cupboard2",0
"2019-05-08 11:45:33","cupboard4",1
"2019-05-08 11:45:37","cupboard4",0
"2019-05-08 11:46:01","door",0
"2019-05-08 11:49:43","door",1
"2019-05-08 11:49:47","door",0
"2019-05-08 11:49:51","cupboard2",1
"2019-05-08 11:49:53","cupboard2",0
"2019-05-08 11:49:56","cupboard3",1
"2019-05-08 11:49:58","cupboard2",1
"2019-05-08 11:49:59","cupboard3",0
"2019-05-08 11:50:01","cupboard2",0
"2019-05-08 11:50:08","cupboard4",1
"2019-05-08 11:50:10","cup",1
"2019-05-08 11:50:13","cupboard4",0
"2019-05-08 11:50:18","cup",0
"2019-05-08 11:50:24","cupboard3",1
"2019-05-08 11:50:26","cupboard3",0
"2019-05-08 11:50:39","cup",1
"2019-05-08 11:50:40","cup",1
"2019-05-08 11:50:40","cup",0
"2019-05-08 11:50:41","cup",0
"2019-05-08 11:50:43","kettle",1
"2019-05-08 11:50:53","kettle",0
"2019-05-08 11:51:06","cup",1
"2019-05-08 11:51:13","cup",0
"2019-05-08 11:51:26","cup",1
"2019-05-08 11:51:28","cup",0
"2019-05-08 11:52:06","cup",1
"2019-05-08 11:52:09","cup",0
"2019-05-08 11:52:46","cup",1
"2019-05-08 11:52:50","cup",0
"2019-05-08 11:53:22","cup",1
"2019-05-08 11:53:26","cup",0
"2019-05-08 11:54:04","cup",1
